week_start,week_end,summary,sentiment_score,risk_score
2020-01-06,2020-01-12,"Major company-specific events: AAPL continued to benefit from strong holiday sales and positive momentum following its December 2019 all-time highs. No major earnings or product announcements this week. Macroeconomic events: U.S.-China trade tensions eased after reports that China would increase U.S. imports, boosting tech stocks. Strong U.S. jobs data on Jan 10 (nonfarm payrolls) supported market optimism. Overall, AAPL rose slightly during the week.",0.3,0.2
2020-01-13,2020-01-19,"AAPL stock rose during the week, supported by positive sentiment following the Phase 1 US-China trade deal signing on January 15, which reduced tariff uncertainty. Company-specific factors included continued strong iPhone 11 sales and optimism ahead of the upcoming earnings report. No major negative company news emerged.",0.6,0.3
2020-01-20,2020-01-26,"During this week, AAPL's stock price was influenced by the company's strong Q1 2020 earnings report released on January 28 (after the week ended), but anticipation of the report and positive sentiment around iPhone 11 sales and services growth supported the stock. Macroeconomic events included the initial emergence of COVID-19 concerns in China, which began to weigh on global markets, though the full impact was not yet priced in. Overall, the week saw modest gains driven by earnings optimism.",0.3,0.4
2020-01-27,2020-02-02,"AAPL reported strong Q1 2020 earnings on Jan 28, with record revenue of $91.8B, driven by iPhone 11 and services growth, beating estimates. However, the COVID-19 outbreak in China raised concerns about supply chain disruptions and demand slowdown, leading to volatility. The WHO declared a global health emergency on Jan 30, increasing uncertainty.",0.2,0.7
2020-02-03,2020-02-09,"AAPL's stock price was affected by the escalating COVID-19 outbreak in China, which raised concerns about supply chain disruptions and lower iPhone demand. The company also reported strong Q1 2020 earnings on Jan 28, but the positive momentum was tempered by the virus fears. Additionally, the U.S. jobs report on Feb 7 showed strong employment data, supporting broader market sentiment.",-0.3,0.7
2020-02-10,2020-02-16,"AAPL stock was influenced by ongoing concerns over the COVID-19 outbreak in China, which disrupted supply chains and reduced demand expectations. The company announced that its March quarter revenue guidance would be below expectations due to slower iPhone production and weaker demand in China. No major positive company-specific events occurred. Macroeconomic fears of a global pandemic weighed on sentiment.",-0.4,0.7
2020-02-17,2020-02-23,"During this week, Apple warned on February 17 that it would not meet its Q2 revenue guidance due to coronavirus-related production slowdowns and reduced demand in China. The broader market also faced increasing fears of a global pandemic, with COVID-19 cases rising outside China, leading to a risk-off sentiment. Apple's stock declined significantly, reflecting both company-specific supply chain disruptions and macroeconomic uncertainty.",-0.7,0.8
2020-02-24,2020-03-01,"Major company-specific events: Apple warned on Feb 17 that Q2 revenue would miss guidance due to coronavirus supply constraints and lower demand in China, with effects continuing into this week. No major product announcements. Macroeconomic events: Global COVID-19 pandemic fears intensified, with sharp increases in cases outside China (Italy, Iran, South Korea). U.S. markets experienced a severe sell-off, with the Dow dropping over 3,500 points for the week, the worst since 2008. The S&P 500 corrected over 12%. Safe-haven assets surged. Fed Chair Powell issued a statement on Feb 28 signaling readiness to act, but markets remained highly volatile.",-0.9,0.95
2020-03-02,2020-03-08,"Major company-specific events: Apple issued a revenue warning on Feb 17 due to COVID-19 supply chain disruptions, but no new major company news this week. Macroeconomic events: Global stock markets plunged as COVID-19 pandemic fears intensified, with the Fed cutting interest rates by 50 bps on March 3 in an emergency move, but markets continued to fall on rising case counts and oil price war fears. Apple's stock price declined sharply amid broad market sell-off.",-0.7,0.9
2020-03-09,2020-03-15,"The week was dominated by the escalating COVID-19 pandemic, with the WHO declaring it a global pandemic on March 11. Oil price war between Saudi Arabia and Russia caused a crash in oil prices. U.S. stock markets experienced severe volatility, including a historic circuit breaker triggered on March 9. AAPL, like most tech stocks, fell sharply amid fears of supply chain disruptions and reduced consumer demand. No major company-specific events offset the macro-driven selloff.",-0.9,0.95
