month,summary,sentiment_score,risk_score
2020-01,"In January 2020, AAPL reported strong Q1 2020 earnings on Jan 28, beating estimates with record revenue of $91.8B, driven by iPhone 11 and services growth. However, the emerging COVID-19 outbreak in China raised concerns about supply chain disruptions and demand slowdown, causing some volatility. Overall, the stock rose ~5% during the month.",0.6,0.4
2020-02,"In February 2020, Apple's stock was affected by the escalating COVID-19 pandemic, which led to supply chain disruptions in China and store closures. The company issued a revenue warning on February 17, citing lower iPhone production and weaker demand. Macroeconomic fears of a global economic slowdown intensified, causing a sharp sell-off in equities. Market sentiment turned bearish as uncertainty about the virus's impact grew.",-0.6,0.8
2020-03,"COVID-19 declared a global pandemic; global lockdowns and economic shutdowns caused severe market sell-off. Apple closed all retail stores outside China, faced supply chain disruptions, and withdrew its Q2 revenue guidance. The Fed cut rates to near zero and announced QE, but panic selling dominated.",-0.85,0.95
2020-04,"In April 2020, AAPL was affected by the COVID-19 pandemic's global economic impact, including store closures and supply chain disruptions. However, the company reported better-than-expected services revenue and announced a $50 billion share buyback program, boosting investor confidence. Macroeconomic factors included massive fiscal stimulus and Fed rate cuts, which supported tech stocks.",0.3,0.6
2020-05,"AAPL stock rose in May 2020 amid optimism about phased reopening of Apple stores and strong services revenue growth, despite ongoing COVID-19 pandemic uncertainty and trade tensions with China. The company announced plans to reopen US stores with safety measures, and reported better-than-expected Q2 earnings in late April, which continued to support sentiment. Macro factors included massive Fed stimulus and improving risk appetite in tech stocks.",0.6,0.4
2020-06,"In June 2020, AAPL benefited from strong market recovery optimism and positive sentiment around its WWDC announcements, including the transition to Apple Silicon. However, rising COVID-19 cases in the U.S. and renewed lockdown fears introduced uncertainty. The stock rose ~14% during the month, supported by tech sector strength and stimulus hopes.",0.6,0.4
2020-07,"AAPL reported strong Q3 earnings on July 30, beating estimates with revenue of $59.7B vs $52.3B expected, driven by iPhone SE and Services growth. The company announced a 4-for-1 stock split on July 30. Macro events included rising COVID-19 cases in the US and renewed lockdown concerns, but Fed stimulus and low interest rates supported tech stocks.",0.7,0.4
2020-08,"AAPL stock surged in August 2020, driven by a 4-for-1 stock split announcement and strong Q3 earnings beat, with revenue of $59.7B vs. $52.3B expected. Macro tailwinds included continued low interest rates and fiscal stimulus optimism, though geopolitical tensions with China and COVID-19 resurgence posed risks.",0.8,0.4
2020-09,"In September 2020, Apple's stock experienced volatility due to a broader tech sell-off, concerns over high valuations, and uncertainty around the iPhone 12 launch delay. The company held its annual September event, introducing new Apple Watch and iPad models, but the absence of the iPhone 12 disappointed some investors. Macroeconomic factors included rising COVID-19 cases, U.S. political uncertainty ahead of the election, and mixed economic data.",-0.3,0.6
2020-10,"Apple's stock in October 2020 was affected by the launch of iPhone 12 series (event on Oct 13) which initially disappointed due to delayed availability, but strong pre-orders later boosted sentiment. Macro events included rising COVID-19 cases in the US and Europe, uncertainty over US fiscal stimulus, and the upcoming presidential election, which increased market volatility.",0.2,0.6
2020-11,"In November 2020, Apple reported strong Q4 earnings on Oct 29 (revenue $64.7B, iPhone sales beat expectations), and the stock rose on positive guidance and iPhone 12 demand. The U.S. presidential election result (Biden win) reduced near-term regulatory uncertainty, while positive COVID-19 vaccine news from Pfizer/BioNTech on Nov 9 boosted broad market sentiment. However, rising COVID-19 cases and renewed lockdowns in Europe and parts of the U.S. added macroeconomic risk. Apple's stock price increased ~10% during the month.",0.7,0.4
2020-12,"In December 2020, AAPL was influenced by positive news around Apple's M1 chip adoption and strong holiday sales expectations, but faced headwinds from broader market uncertainty due to rising COVID-19 cases and renewed lockdowns. The stock also reacted to reports of potential antitrust actions and supply chain constraints.",0.3,0.5
2021-01,"AAPL reported strong Q1 2021 earnings on Jan 27, beating revenue and profit estimates driven by iPhone 12 sales and services growth. Macro factors included positive market sentiment from vaccine rollouts and fiscal stimulus expectations, but also concerns over rising COVID-19 cases and potential regulatory risks for big tech. The stock rose ~5% in January.",0.6,0.4
2021-02,"In February 2021, AAPL was affected by company-specific events including reports of Apple's ongoing work on an electric vehicle (Project Titan) and a potential VR/AR headset, which generated positive speculation. However, the stock faced headwinds from a broader tech sell-off driven by rising bond yields and inflation fears. Macroeconomic factors such as the rollout of COVID-19 vaccines and improving economic outlook contributed to rotation out of growth stocks into value. Additionally, Apple reported strong Q1 2021 earnings in late January, but the stock declined in February as profit-taking and rising interest rates weighed on high-multiple tech names.",-0.3,0.6
2021-03,"AAPL stock was affected by company-specific events such as the launch of new iPad Pro and iMac models with M1 chips, and reports of iPhone 13 production plans. Macroeconomic factors included rising U.S. Treasury yields, inflation concerns, and a broader tech sell-off. Market sentiment turned cautious amid rotation from growth to value stocks.",-0.2,0.6
2021-04,"Apple reported strong fiscal Q2 2021 earnings on April 28, with revenue of $89.6B (up 54% YoY), driven by iPhone 12 sales and services growth. The company also announced a $90B share buyback and a 7% dividend increase. Macro events included rising inflation concerns and a tech sector rotation, but positive vaccine rollout and low interest rates supported growth stocks.",0.6,0.3
2021-05,"Apple's stock in May 2021 was influenced by strong Q2 earnings beat (released late April), continued iPhone 12 demand, and positive services revenue growth. Macro headwinds included rising inflation concerns and Fed tapering speculation, while company-specific risks involved ongoing antitrust scrutiny and global chip shortage fears.",0.3,0.4
2021-06,"In June 2021, Apple's stock was influenced by the WWDC 2021 event where iOS 15, macOS Monterey, and privacy features were announced, which was viewed positively. However, concerns over potential antitrust regulations and a global chip shortage weighed on sentiment. Macroeconomic factors included rising inflation fears and mixed jobs data, contributing to market volatility.",0.2,0.5
2021-07,"AAPL reported strong Q3 earnings on July 27, beating estimates with revenue of $81.4B, driven by iPhone and Services growth. The stock rose after earnings. Macro concerns included rising COVID-19 Delta variant cases and mixed economic data, but overall market optimism persisted.",0.6,0.3
2021-08,"In August 2021, Apple's stock was influenced by strong Q3 earnings beat (revenue $81.4B vs est. $73.3B) driven by iPhone and Services growth, but tempered by supply chain constraints and chip shortage concerns. Macro events included mixed jobs data, Delta variant fears, and Fed taper talk, which added volatility. Overall, positive earnings momentum supported the stock, but supply risks and macro uncertainty kept sentiment cautious.",0.3,0.5
2021-09,"In September 2021, AAPL faced a major company-specific event: a U.S. federal judge ruled against Apple's App Store policies in the Epic Games case, forcing changes to in-app payment rules, which pressured the stock. Additionally, Apple's iPhone 13 launch on September 14 was met with mixed reactions due to incremental upgrades. Macroeconomic factors included rising inflation concerns, uncertainty over Federal Reserve tapering, and a broader market sell-off in late September driven by fears of Evergrande's debt crisis in China and potential contagion. These events contributed to a decline in AAPL's stock price during the month.",-0.3,0.6
2021-10,"AAPL's stock in October 2021 was influenced by strong Q4 earnings beat (revenue $83.4B vs est. $84.8B, but iPhone revenue slightly missed), supply chain constraints due to chip shortages, and macroeconomic concerns over inflation and Fed tapering. Positive sentiment from product launches (MacBook Pro with M1 Pro/Max chips) and services growth offset some headwinds.",0.2,0.4
2021-11,"AAPL stock was influenced by strong Q4 earnings beat on Oct 28, continued supply chain constraints, and reports of iPhone 13 demand softening. Macro factors included rising inflation, Fed tapering announcements, and Omicron variant fears late in the month.",0.1,0.6
2021-12,"AAPL stock was affected by the Omicron variant concerns, which weighed on overall market sentiment, but also benefited from strong holiday sales expectations and the company's resilience. Additionally, reports of Apple's progress on autonomous electric vehicles and mixed supply chain issues influenced price movements. The Fed's hawkish pivot in December increased macroeconomic uncertainty.",0.2,0.4
2022-01,"AAPL stock fell in January 2022 amid broader tech sell-off driven by Federal Reserve hawkish pivot on interest rate hikes and tapering. Company-specific events included strong Q1 2022 earnings (reported Jan 27) with record revenue, but guidance and supply chain concerns weighed. Market sentiment turned risk-off due to inflation fears and geopolitical tensions.",-0.3,0.6
2022-02,"AAPL stock was affected by strong Q1 2022 earnings beat on Jan 27 (revenue $123.9B vs est. $118.7B), but forward guidance hinted at supply constraints. Macro headwinds included rising inflation, Fed rate hike expectations, and geopolitical tensions over Ukraine/Russia. Overall, positive earnings supported price, but macro uncertainty capped gains.",0.2,0.6
2022-03,"AAPL stock was affected by the Russia-Ukraine war, rising inflation, and Fed rate hike expectations. Company-specific events included the launch of the iPhone SE 3 and Mac Studio at the March 8 event, but supply chain concerns and a temporary suspension of product sales in Russia weighed on sentiment. The stock declined amid broader market volatility.",-0.3,0.6
2022-04,"AAPL faced headwinds from macroeconomic concerns including rising interest rates, high inflation, and supply chain disruptions due to COVID-19 lockdowns in China. Company-specific events included a cautious outlook on supply constraints and a slight revenue beat in Q2 earnings, but overall sentiment was weighed down by fears of slowing demand and production cuts.",-0.3,0.6
2022-05,"In May 2022, Apple's stock was affected by broad market sell-offs due to aggressive Federal Reserve rate hikes and inflation concerns. Company-specific events included reports of slowing iPhone demand and supply chain disruptions in China due to COVID-19 lockdowns, which weighed on investor sentiment.",-0.4,0.7
2022-06,"In June 2022, Apple's stock was affected by macroeconomic headwinds including the Federal Reserve's aggressive 75 basis point interest rate hike to combat inflation, recession fears, and a broad market selloff. Company-specific events included reports of slowing iPhone demand and supply chain constraints, though Apple's strong brand and services revenue provided some resilience.",-0.4,0.7
2022-07,"AAPL reported strong Q3 earnings on July 28, beating estimates with revenue of $83.0B and EPS of $1.20, driven by iPhone and Services growth. However, macroeconomic headwinds persisted: the Fed raised interest rates by 75 bps on July 27, inflation remained high, and recession fears weighed on tech stocks. Supply chain constraints and a strong USD also posed risks. Overall, earnings optimism was tempered by macro uncertainty.",0.2,0.6
2022-08,"Apple's stock in August 2022 was influenced by mixed macroeconomic signals: the Fed's hawkish stance on inflation and rising interest rates weighed on tech valuations, while a strong July jobs report eased recession fears. Company-specific events included reports of slowing iPhone demand and supply chain constraints, but also a resilient services revenue outlook. The stock experienced volatility amid broader market uncertainty.",-0.2,0.6
2022-09,"In September 2022, AAPL faced headwinds from a broad market sell-off driven by hawkish Federal Reserve rate hikes and rising recession fears. Company-specific events included reports of slowing iPhone 14 demand and production issues, as well as a temporary ban on sales of certain Apple Watch models due to a patent dispute. The stock declined significantly during the month.",-0.6,0.7
2022-10,"AAPL faced headwinds from a strong US dollar, rising interest rates, and concerns over slowing iPhone demand amid global economic uncertainty. The company reported mixed Q4 earnings (Oct 27) with revenue slightly below expectations but services growth and share buybacks providing support. Macro events included persistent inflation, Fed rate hike expectations, and geopolitical tensions.",-0.2,0.6
2022-11,"AAPL faced headwinds from COVID-19 lockdowns in China disrupting iPhone production, particularly at Foxconn's Zhengzhou plant, leading to supply concerns. Macroeconomic factors included persistent inflation and aggressive Fed rate hikes, which pressured growth stocks. However, a slight easing of inflation expectations mid-month and strong services sector data provided some support. Overall, the stock declined amid supply chain uncertainty and recession fears.",-0.3,0.7
2022-12,"Apple faced headwinds from COVID-related production disruptions in China, particularly at the Zhengzhou iPhone factory, leading to supply constraints and lower iPhone 14 Pro shipments. Macroeconomic concerns over rising interest rates and recession fears weighed on tech stocks. However, the company's strong services revenue and resilient brand partially offset negative sentiment.",-0.3,0.6
2023-01,"AAPL faced headwinds from weak iPhone demand in China due to COVID disruptions and a broader tech sell-off amid rising interest rates. The company reported Q4 2022 earnings in late January that missed revenue estimates, though services revenue grew. Macro factors included Fed rate hike expectations and recession fears.",-0.3,0.6
2023-02,"AAPL reported Q1 FY2023 earnings on Feb 2, missing revenue estimates but beating EPS, with iPhone revenue slightly below expectations and Services revenue growing. The company also faced ongoing macroeconomic headwinds including rising interest rates and inflation concerns, as well as supply chain disruptions in China. Positive sentiment from strong Services growth and share buybacks was offset by cautious guidance and broader tech sector weakness.",-0.1,0.5
2023-03,"In March 2023, Apple's stock was affected by the broader banking crisis (Silicon Valley Bank collapse) which raised fears of financial contagion and reduced risk appetite. Company-specific events included continued headwinds from slowing iPhone demand and supply chain issues, though Apple's strong balance sheet and safe-haven status provided some support. The Federal Reserve's rate hike decision and ongoing inflation concerns also weighed on sentiment.",-0.2,0.6
2023-04,"Apple reported Q2 earnings on May 4, but during April, anticipation built around services revenue growth and potential headwinds from weaker consumer spending. Macro events included persistent inflation, Fed rate hike expectations, and regional banking stress, which weighed on tech stocks. Company-specific news included reports of supply chain improvements and a slight uptick in iPhone demand in China, but overall cautious outlook.",-0.1,0.4
2023-05,"AAPL reported Q2 2023 earnings on May 4, beating revenue and EPS estimates despite a slight year-over-year revenue decline. The company announced a $90 billion share buyback and raised its dividend. Macro headwinds included ongoing Fed rate hikes and regional banking turmoil, but strong services revenue and iPhone resilience supported sentiment.",0.4,0.3
2023-06,"Apple's WWDC 2023 in early June unveiled the Vision Pro mixed-reality headset, generating initial excitement but also concerns over high pricing and delayed launch. The stock saw a slight uptick mid-month on positive analyst notes and strong iPhone demand, but later faced pressure from broader market uncertainty around Fed rate hikes and China's economic slowdown. Overall, the stock ended the month relatively flat.",0.1,0.4
2023-07,"AAPL reached an all-time high of $198.23 on July 19, driven by strong Q3 earnings beat (revenue $81.8B vs $81.7B est., EPS $1.26 vs $1.19 est.) and record Services revenue. The stock also benefited from positive sentiment around its Vision Pro headset launch and AI initiatives. Macro headwinds included Fed rate hike concerns and mixed economic data, but overall tech rally and iPhone demand resilience supported gains.",0.7,0.3
2023-08,"AAPL reported Q3 2023 earnings on August 3, beating revenue and EPS estimates, but iPhone revenue slightly missed. Services revenue hit a record. The stock declined after earnings due to cautious guidance and a broader tech sell-off. Macro headwinds included rising US Treasury yields, China economic slowdown concerns, and potential regulatory risks from the EU's Digital Markets Act. Overall, mixed earnings and macro uncertainty weighed on sentiment.",-0.2,0.6
2023-09,"Apple's stock in September 2023 was affected by the launch of the iPhone 15 series on September 12, which received mixed reviews due to overheating issues and lack of major upgrades. Additionally, China's government expanded restrictions on iPhone use in government agencies, raising geopolitical and demand concerns. Macroeconomic factors included rising U.S. Treasury yields and a stronger dollar, which pressured growth stocks. Overall, AAPL declined about 6% during the month.",-0.4,0.6
